Times,Fold,T,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Confusion Matrix
1,1,0.0579,W-SVM,baseline,0.8222,0.3529,0.5387,0.3871,0.6935,0.5876,"[[37, 8], [11, 6]]"
1,1,0.129,AFW-CIL_fixed,fixed_sigma_1.2,0.8222,0.3529,0.5387,0.3871,0.6935,0.5876,"[[37, 8], [11, 6]]"
1,1,2.5221,GridSearch-AFW-CIL,"K=7,s=0.5",1.0,0.0,0.0,0.0,0.7258,0.5,"[[45, 0], [17, 0]]"
1,1,6.9471,PSO-AFW-CIL,"K=9,s1=0.268,s2=0.532,s3=0.473,s4=0.056",1.0,0.0,0.0,0.0,0.7258,0.5,"[[45, 0], [17, 0]]"
1,2,0.0113,W-SVM,baseline,1.0,0.0,0.0,0.0,0.7377,0.5,"[[45, 0], [16, 0]]"
1,2,0.1428,AFW-CIL_fixed,fixed_sigma_1.2,0.8667,0.4375,0.6158,0.4828,0.7541,0.6521,"[[39, 6], [9, 7]]"
1,2,2.2193,GridSearch-AFW-CIL,"K=3,s=0.1",0.6667,0.75,0.7071,0.5581,0.6885,0.7083,"[[30, 15], [4, 12]]"
1,2,5.1188,PSO-AFW-CIL,"K=3,s1=0.312,s2=0.086,s3=0.500,s4=0.828",0.6667,0.75,0.7071,0.5581,0.6885,0.7083,"[[30, 15], [4, 12]]"
1,3,0.0174,W-SVM,baseline,0.9333,0.25,0.483,0.3478,0.7541,0.5917,"[[42, 3], [12, 4]]"
1,3,0.0974,AFW-CIL_fixed,fixed_sigma_1.2,0.8667,0.25,0.4655,0.3077,0.7049,0.5583,"[[39, 6], [12, 4]]"
1,3,1.756,GridSearch-AFW-CIL,"K=3,s=0.1",0.8667,0.375,0.5701,0.4286,0.7377,0.6208,"[[39, 6], [10, 6]]"
1,3,4.9835,PSO-AFW-CIL,"K=11,s1=0.109,s2=0.531,s3=0.188,s4=0.773",0.8667,0.375,0.5701,0.4286,0.7377,0.6208,"[[39, 6], [10, 6]]"
1,4,0.0116,W-SVM,baseline,1.0,0.0,0.0,0.0,0.7377,0.5,"[[45, 0], [16, 0]]"
1,4,0.114,AFW-CIL_fixed,fixed_sigma_1.2,0.8444,0.6875,0.7619,0.6471,0.8033,0.766,"[[38, 7], [5, 11]]"
1,4,2.1714,GridSearch-AFW-CIL,"K=3,s=0.1",0.7111,0.9375,0.8165,0.6818,0.7705,0.8243,"[[32, 13], [1, 15]]"
1,4,4.5616,PSO-AFW-CIL,"K=5,s1=0.120,s2=0.560,s3=0.500,s4=0.475",0.8444,0.875,0.8596,0.7568,0.8525,0.8597,"[[38, 7], [2, 14]]"
1,5,0.0176,W-SVM,baseline,0.8889,0.25,0.4714,0.32,0.7213,0.5694,"[[40, 5], [12, 4]]"
1,5,0.106,AFW-CIL_fixed,fixed_sigma_1.2,0.9111,0.3125,0.5336,0.4,0.7541,0.6118,"[[41, 4], [11, 5]]"
1,5,2.0733,GridSearch-AFW-CIL,"K=7,s=0.2",0.8222,0.4375,0.5998,0.4516,0.7213,0.6299,"[[37, 8], [9, 7]]"
1,5,5.7337,PSO-AFW-CIL,"K=7,s1=0.324,s2=0.010,s3=0.010,s4=0.599",0.6222,0.625,0.6236,0.4651,0.623,0.6236,"[[28, 17], [6, 10]]"
2,1,0.0196,W-SVM,baseline,0.8444,0.2353,0.4457,0.2857,0.6774,0.5399,"[[38, 7], [13, 4]]"
2,1,0.1099,AFW-CIL_fixed,fixed_sigma_1.2,0.8222,0.3529,0.5387,0.3871,0.6935,0.5876,"[[37, 8], [11, 6]]"
2,1,2.1353,GridSearch-AFW-CIL,"K=5,s=0.5",0.8222,0.4118,0.5819,0.4375,0.7097,0.617,"[[37, 8], [10, 7]]"
2,1,6.1443,PSO-AFW-CIL,"K=11,s1=0.421,s2=0.098,s3=0.140,s4=0.403",0.7111,0.4706,0.5785,0.4211,0.6452,0.5908,"[[32, 13], [9, 8]]"
