Times,Fold,T,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Confusion Matrix
1,1,0.0,W-SVM,co_author_50_250,0.96,0.5,0.6928,0.5882,0.8833,0.73,"[[48, 2], [5, 5]]"
1,1,0.0,PSO-AFW-CIL,co_author_50_250,0.88,0.5,0.6633,0.4762,0.8167,0.69,"[[44, 6], [5, 5]]"
1,2,0.0,W-SVM,co_author_50_250,0.9,0.5,0.6708,0.5,0.8333,0.7,"[[45, 5], [5, 5]]"
1,2,0.0,PSO-AFW-CIL,co_author_50_250,0.82,0.9,0.8591,0.6429,0.8333,0.86,"[[41, 9], [1, 9]]"
1,3,0.0,W-SVM,co_author_50_250,0.88,0.6,0.7266,0.5455,0.8333,0.74,"[[44, 6], [4, 6]]"
1,3,0.0,PSO-AFW-CIL,co_author_50_250,0.64,1.0,0.8,0.5263,0.7,0.82,"[[32, 18], [0, 10]]"
1,4,0.0,W-SVM,co_author_50_250,0.98,0.4,0.6261,0.5333,0.8833,0.69,"[[49, 1], [6, 4]]"
1,4,0.0,PSO-AFW-CIL,co_author_50_250,0.94,0.7,0.8112,0.7,0.9,0.82,"[[47, 3], [3, 7]]"
1,5,0.0,W-SVM,co_author_50_250,0.9,0.3,0.5196,0.3333,0.8,0.6,"[[45, 5], [7, 3]]"
1,5,0.0,PSO-AFW-CIL,co_author_50_250,0.74,0.8,0.7694,0.5161,0.75,0.77,"[[37, 13], [2, 8]]"
2,1,0.0,W-SVM,co_author_50_250,0.9,0.6,0.7348,0.5714,0.85,0.75,"[[45, 5], [4, 6]]"
2,1,0.0,PSO-AFW-CIL,co_author_50_250,0.88,0.8,0.839,0.6667,0.8667,0.84,"[[44, 6], [2, 8]]"
2,2,0.0,W-SVM,co_author_50_250,0.94,0.4,0.6132,0.4706,0.85,0.67,"[[47, 3], [6, 4]]"
2,2,0.0,PSO-AFW-CIL,co_author_50_250,0.92,0.5,0.6782,0.5263,0.85,0.71,"[[46, 4], [5, 5]]"
2,3,0.0,W-SVM,co_author_50_250,0.94,0.2,0.4336,0.2667,0.8167,0.57,"[[47, 3], [8, 2]]"
2,3,0.0,PSO-AFW-CIL,co_author_50_250,0.84,0.7,0.7668,0.56,0.8167,0.77,"[[42, 8], [3, 7]]"
2,4,0.0,W-SVM,co_author_50_250,0.96,0.5,0.6928,0.5882,0.8833,0.73,"[[48, 2], [5, 5]]"
2,4,0.0,PSO-AFW-CIL,co_author_50_250,0.92,1.0,0.9592,0.8333,0.9333,0.96,"[[46, 4], [0, 10]]"
2,5,0.0,W-SVM,co_author_50_250,0.86,0.5,0.6557,0.4545,0.8,0.68,"[[43, 7], [5, 5]]"
2,5,0.0,PSO-AFW-CIL,co_author_50_250,0.84,0.8,0.8198,0.6154,0.8333,0.82,"[[42, 8], [2, 8]]"
3,1,0.0,W-SVM,co_author_50_250,0.98,0.2,0.4427,0.3077,0.85,0.59,"[[49, 1], [8, 2]]"
3,1,0.0,PSO-AFW-CIL,co_author_50_250,0.86,0.9,0.8798,0.6923,0.8667,0.88,"[[43, 7], [1, 9]]"
3,2,0.0,W-SVM,co_author_50_250,0.94,0.6,0.751,0.6316,0.8833,0.77,"[[47, 3], [4, 6]]"
3,2,0.0,PSO-AFW-CIL,co_author_50_250,0.9,0.6,0.7348,0.5714,0.85,0.75,"[[45, 5], [4, 6]]"
